No;Kategori;Nama Alat;Kode / ID Barang;Brand;Model / Spesifikasi;Tahun;Jumlah;Kondisi;Sumber File
39;Komputer;Monitor / LCD;514;Acer;LCD Full HD 2.5;;1;;Data_Lab_SB_II_2026.xlsx
40;Komputer;Monitor / LCD;;Acer;LCD Full HD 2.5;2024;1;;Data_Lab_SB_II_2026.xlsx
41;Komputer;Monitor / LCD;77;LG;LCD Full HD 2.5;2025;1;;Data_Lab_SB_II_2026.xlsx
42;Komputer;Mouse;;Asus;USB Type A;;1;;Data_Lab_SB_II_2026.xlsx
43;Komputer;Mouse;;Dell;USB Type A;;1;;Data_Lab_SB_II_2026.xlsx
44;Komputer;Mouse;;Logitech;USB Type A;;3;;Data_Lab_SB_II_2026.xlsx
45;Komputer;Mouse;;Acer;USB Type A;;7;;Data_Lab_SB_II_2026.xlsx
46;Komputer;Mouse;;HP;USB Type A;;3;;Data_Lab_SB_II_2026.xlsx
47;Komputer;Mouse;;Dell;USB Type A;;1;;Data_Lab_SB_II_2026.xlsx
48;Komputer;Mouse;;;USB Type A;;5;;Data_Lab_SB_II_2026.xlsx
49;Komputer;Keyboard;;Asus;USB Type A;;1;;Data_Lab_SB_II_2026.xlsx
50;Komputer;Keyboard;;HP;USB Type A;;7;;Data_Lab_SB_II_2026.xlsx
51;Komputer;Keyboard;;Acer;USB Type A;;8;;Data_Lab_SB_II_2026.xlsx
52;Komputer;Keyboard;;Logitech;USB Type A;;4;;Data_Lab_SB_II_2026.xlsx
53;Komputer;Keyboard;;Dell;USB Type A;;1;;Data_Lab_SB_II_2026.xlsx
54;Komputer;Keyboard;;;;;3;;Data_Lab_SB_II_2026.xlsx
55;Komputer;UPS;38;;;;1;Baik;Data_Lab_SB_II_2026.xlsx
56;Komputer;UPS;28;;;;1;Baik;Data_Lab_SB_II_2026.xlsx
Fasilitas Lab;;;;;;;;;
1;Fasilitas Lab;Proyektor;;EPSON;LCD Proyektor;;1;Baik;Data_Lab_SB_II_2026.xlsx
2;Fasilitas Lab;AC;;DAIKIN;;;2;Baik;Data_Lab_SB_II_2026.xlsx
3;Fasilitas Lab;AC;;Panasonic;;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
Kabel & Koneksi;;;;;;;;;
1;Kabel & Koneksi;Kabel LAN;Binus/TKJ.01;Lition;;2025;1;Baik;data_LABEL_LAN.xlsx
2;Kabel & Koneksi;Kabel LAN;Binus/TKJ.02;Lition;;2025;1;Baik;data_LABEL_LAN.xlsx
3;Kabel & Koneksi;Kabel LAN;Binus/TKJ.03;Samsung;;2025;1;Baik;data_LABEL_LAN.xlsx
4;Kabel & Koneksi;Kabel LAN;Binus/TKJ.04;Samsung;;2025;1;Baik;data_LABEL_LAN.xlsx
5;Kabel & Koneksi;Kabel LAN;Binus/TKJ.05;Samsung;;2025;1;Baik;data_LABEL_LAN.xlsx
6;Kabel & Koneksi;Kabel LAN;Binus/TKJ.06;Samsung;;2025;1;Baik;data_LABEL_LAN.xlsx
7;Kabel & Koneksi;Kabel LAN;Binus/TKJ.07;Samsung;;2025;1;Baik;data_LABEL_LAN.xlsx
8;Kabel & Koneksi;Kabel LAN;Binus/TKJ.08;;;2025;1;Baik;data_LABEL_LAN.xlsx
9;Kabel & Koneksi;Kabel LAN;Binus/TKJ.09;;;2025;1;Baik;data_LABEL_LAN.xlsx
10;Kabel & Koneksi;Kabel LAN;Binus/TKJ.10;;;2025;1;Baik;data_LABEL_LAN.xlsx
11;Kabel & Koneksi;Kabel LAN;Binus/TKJ.11;;;2025;1;Baik;data_LABEL_LAN.xlsx
12;Kabel & Koneksi;Kabel LAN;Binus/TKJ.12;;;2025;1;Baik;data_LABEL_LAN.xlsx
13;Kabel & Koneksi;Kabel LAN;Binus/TKJ.13;;;2025;1;Baik;data_LABEL_LAN.xlsx
